token,df,df_frac,idf,is_stop
npm::debug,220,0.4166666666666667,1.8728257303405464,True
npm::ms,219,0.4147727272727273,1.8773608855059378,True
npm::inherits,218,0.4128787878787879,1.8819167020417986,True
npm::semver,209,0.3958333333333333,1.9238809011408307,True
npm::minimatch,207,0.39204545454545453,1.9334503521569815,True
npm::safe-buffer,207,0.39204545454545453,1.9334503521569815,True
npm::supports-color,207,0.39204545454545453,1.9334503521569815,True
npm::balanced-match,207,0.39204545454545453,1.9334503521569815,True
npm::brace-expansion,207,0.39204545454545453,1.9334503521569815,True
npm::concat-map,203,0.38446969696969696,1.952868438014083,True
npm::ansi-styles,203,0.38446969696969696,1.952868438014083,True
npm::mime-db,202,0.38257575757575757,1.9577824528165122,True
npm::mime-types,202,0.38257575757575757,1.9577824528165122,True
npm::has-flag,202,0.38257575757575757,1.9577824528165122,True
npm::chalk,201,0.3806818181818182,1.9627207344570947,True
npm::is-extglob,199,0.3768939393939394,1.9726710653102626,True
npm::glob-parent,199,0.3768939393939394,1.9726710653102626,True
npm::is-glob,199,0.3768939393939394,1.9726710653102626,True
npm::color-name,199,0.3768939393939394,1.9726710653102626,True
npm::once,198,0.375,1.977683607133807,True
npm::color-convert,198,0.375,1.977683607133807,True
npm::wrappy,198,0.375,1.977683607133807,True
npm::fill-range,197,0.3731060606060606,1.9827214011637642,True
npm::strip-ansi,197,0.3731060606060606,1.9827214011637642,True
npm::is-number,197,0.3731060606060606,1.9827214011637642,True
npm::braces,197,0.3731060606060606,1.9827214011637642,True
npm::ansi-regex,197,0.3731060606060606,1.9827214011637642,True
npm::glob,196,0.3712121212121212,1.9877847031203109,True
npm::lru-cache,196,0.3712121212121212,1.9877847031203109,True
npm::fsevents,193,0.36553030303030304,2.003130272794971,True
npm::normalize-path,193,0.36553030303030304,2.003130272794971,True
npm::function-bind,193,0.36553030303030304,2.003130272794971,True
npm::yallist,192,0.36363636363636365,2.0082982429534137,True
npm::fs.realpath,192,0.36363636363636365,2.0082982429534137,True
npm::object-assign,192,0.36363636363636365,2.0082982429534137,True
npm::path-is-absolute,192,0.36363636363636365,2.0082982429534137,True
npm::inflight,192,0.36363636363636365,2.0082982429534137,True
npm::iconv-lite,191,0.36174242424242425,2.013493059830518,True
npm::anymatch,190,0.35984848484848486,2.0187150038116695,True
npm::escape-string-regexp,189,0.35795454545454547,2.023964359697813,True
npm::mime,188,0.3560606060606061,2.0292414167986568,True
npm::minimist,187,0.3541666666666667,2.03454646902835,True
npm::util-deprecate,187,0.3541666666666667,2.03454646902835,True
npm::to-regex-range,187,0.3541666666666667,2.03454646902835,True
npm::string-width,186,0.3522727272727273,2.0398798150037125,True
npm::is-fullwidth-code-point,186,0.3522727272727273,2.0398798150037125,True
npm::rimraf,185,0.3503787878787879,2.045241758145098,True
npm::graceful-fs,185,0.3503787878787879,2.045241758145098,True
npm::which,185,0.3503787878787879,2.045241758145098,True
npm::isexe,185,0.3503787878787879,2.045241758145098,True
npm::qs,183,0.3465909090909091,2.0560526742493135,True
npm::safer-buffer,183,0.3465909090909091,2.0560526742493135,True
npm::lodash,183,0.3465909090909091,2.0560526742493135,True
npm::unpipe,183,0.3465909090909091,2.0560526742493135,True
npm::bytes,182,0.3446969696969697,2.0615022790168784,True
npm::cross-spawn,182,0.3446969696969697,2.0615022790168784,True
npm::http-errors,182,0.3446969696969697,2.0615022790168784,True
npm::statuses,182,0.3446969696969697,2.0615022790168784,True
npm::depd,182,0.3446969696969697,2.0615022790168784,True
npm::setprototypeof,181,0.3428030303030303,2.066981744781504,True
npm::negotiator,181,0.3428030303030303,2.066981744781504,True
npm::accepts,180,0.3409090909090909,2.0724914005924737,True
npm::resolve,180,0.3409090909090909,2.0724914005924737,True
npm::punycode,180,0.3409090909090909,2.0724914005924737,True
npm::on-finished,180,0.3409090909090909,2.0724914005924737,True
npm::parseurl,180,0.3409090909090909,2.0724914005924737,True
npm::ee-first,180,0.3409090909090909,2.0724914005924737,True
npm::signal-exit,180,0.3409090909090909,2.0724914005924737,True
npm::utils-merge,179,0.3390151515151515,2.078031580968089,True
npm::destroy,179,0.3390151515151515,2.078031580968089,True
npm::fresh,179,0.3390151515151515,2.078031580968089,True
npm::binary-extensions,179,0.3390151515151515,2.078031580968089,True
npm::escape-html,179,0.3390151515151515,2.078031580968089,True
npm::shebang-regex,179,0.3390151515151515,2.078031580968089,True
npm::path-parse,179,0.3390151515151515,2.078031580968089,True
npm::chokidar,178,0.3371212121212121,2.0836026260175444,True
npm::etag,178,0.3371212121212121,2.0836026260175444,True
npm::serve-static,178,0.3371212121212121,2.0836026260175444,True
npm::range-parser,178,0.3371212121212121,2.0836026260175444,True
npm::micromatch,178,0.3371212121212121,2.0836026260175444,True
npm::finalhandler,178,0.3371212121212121,2.0836026260175444,True
npm::isarray,178,0.3371212121212121,2.0836026260175444,True
npm::is-binary-path,178,0.3371212121212121,2.0836026260175444,True
npm::send,178,0.3371212121212121,2.0836026260175444,True
npm::readdirp,178,0.3371212121212121,2.0836026260175444,True
npm::encodeurl,177,0.3352272727272727,2.0892048815662143,True
npm::shebang-command,177,0.3352272727272727,2.0892048815662143,True
npm::readable-stream,177,0.3352272727272727,2.0892048815662143,True
npm::string_decoder,176,0.3333333333333333,2.0948386992844705,True
npm::path-exists,176,0.3333333333333333,2.0948386992844705,True
npm::find-up,176,0.3333333333333333,2.0948386992844705,True
npm::commander,176,0.3333333333333333,2.0948386992844705,True
npm::express,175,0.3314393939393939,2.100504436820148,True
npm::resolve-from,175,0.3314393939393939,2.100504436820148,True
npm::source-map,175,0.3314393939393939,2.100504436820148,True
npm::path-key,175,0.3314393939393939,2.100504436820148,True
npm::acorn,174,0.32954545454545453,2.1062024579347853,True
npm::js-tokens,174,0.32954545454545453,2.1062024579347853,True
npm::ajv,174,0.32954545454545453,2.1062024579347853,True
npm::vary,174,0.32954545454545453,2.1062024579347853,True
npm::fast-deep-equal,172,0.32575757575757575,2.1176968373605205,True
npm::cookie,171,0.32386363636363635,2.1234939550448466,True
npm::json5,170,0.32196969696969696,2.1293248753556395,True
npm::json-schema-traverse,170,0.32196969696969696,2.1293248753556395,True
npm::imurmurhash,169,0.32007575757575757,2.1351899948080377,True
npm::raw-body,168,0.3181818181818182,2.141089716935226,True
npm::globals,168,0.3181818181818182,2.141089716935226,True
npm::wrap-ansi,168,0.3181818181818182,2.141089716935226,True
npm::p-locate,167,0.3162878787878788,2.1470244524550406,True
npm::camelcase,167,0.3162878787878788,2.1470244524550406,True
npm::esutils,167,0.3162878787878788,2.1470244524550406,True
npm::core-util-is,167,0.3162878787878788,2.1470244524550406,True
npm::p-limit,167,0.3162878787878788,2.1470244524550406,True
npm::fast-json-stable-stringify,167,0.3162878787878788,2.1470244524550406,True
npm::locate-path,167,0.3162878787878788,2.1470244524550406,True
npm::mkdirp,167,0.3162878787878788,2.1470244524550406,True
npm::body-parser,166,0.3143939393939394,2.1529946194415444,True
npm::js-yaml,166,0.3143939393939394,2.1529946194415444,True
npm::argparse,166,0.3143939393939394,2.1529946194415444,True
npm::estraverse,164,0.3106060606060606,2.165042957957719,True
npm::convert-source-map,164,0.3106060606060606,2.165042957957719,True
npm::caniuse-lite,164,0.3106060606060606,2.165042957957719,True
npm::process-nextick-args,163,0.3087121212121212,2.171122004034101,True
npm::has-symbols,163,0.3087121212121212,2.171122004034101,True
npm::has,162,0.3068181818181818,2.177238231051537,True
npm::browserslist,162,0.3068181818181818,2.177238231051537,True
npm::electron-to-chromium,162,0.3068181818181818,2.177238231051537,True
npm::pify,162,0.3068181818181818,2.177238231051537,True
npm::content-type,162,0.3068181818181818,2.177238231051537,True
npm::parse-json,162,0.3068181818181818,2.177238231051537,True
npm::is-arrayish,162,0.3068181818181818,2.177238231051537,True
npm::error-ex,161,0.30492424242424243,2.1833920966259153,True
npm::emoji-regex,161,0.30492424242424243,2.1833920966259153,True
npm::media-typer,161,0.30492424242424243,2.1833920966259153,True
npm::path-type,160,0.30303030303030304,2.189584066873836,True
npm::to-fast-properties,160,0.30303030303030304,2.189584066873836,True
npm::type-is,160,0.30303030303030304,2.189584066873836,True
npm::callsites,159,0.30113636363636365,2.1958146166244727,True
npm::jsesc,159,0.30113636363636365,2.1958146166244727,True
npm::yargs-parser,159,0.30113636363636365,2.1958146166244727,True
npm::make-dir,158,0.29924242424242425,2.202084229638068,True
npm::y18n,158,0.29924242424242425,2.202084229638068,True
npm::content-disposition,158,0.29924242424242425,2.202084229638068,True
npm::uuid,158,0.29924242424242425,2.202084229638068,True
npm::methods,158,0.29924242424242425,2.202084229638068,True
npm::uri-js,158,0.29924242424242425,2.202084229638068,True
npm::strip-json-comments,158,0.29924242424242425,2.202084229638068,True
npm::path-to-regexp,157,0.29734848484848486,2.2083933988313325,True
npm::yargs,157,0.29734848484848486,2.2083933988313325,True
npm::cliui,157,0.29734848484848486,2.2083933988313325,True
npm::cookie-signature,157,0.29734848484848486,2.2083933988313325,True
npm::get-caller-file,156,0.29545454545454547,2.214742626509991,True
npm::picomatch,156,0.29545454545454547,2.214742626509991,True
npm::@types/node,156,0.29545454545454547,2.214742626509991,True
npm::require-directory,156,0.29545454545454547,2.214742626509991,True
npm::get-stream,155,0.2935606060606061,2.2211324246087623,True
npm::array-flatten,155,0.2935606060606061,2.2211324246087623,True
npm::combined-stream,155,0.2935606060606061,2.2211324246087623,True
npm::ipaddr.js,155,0.2935606060606061,2.2211324246087623,True
npm::postcss,155,0.2935606060606061,2.2211324246087623,True
npm::esrecurse,155,0.2935606060606061,2.2211324246087623,True
npm::@babel/code-frame,155,0.2935606060606061,2.2211324246087623,True
npm::delayed-stream,155,0.2935606060606061,2.2211324246087623,True
npm::asynckit,155,0.2935606060606061,2.2211324246087623,True
npm::toidentifier,154,0.2916666666666667,2.2275633149390526,True
npm::merge-descriptors,154,0.2916666666666667,2.2275633149390526,True
npm::form-data,154,0.2916666666666667,2.2275633149390526,True
npm::forwarded,154,0.2916666666666667,2.2275633149390526,True
npm::kind-of,154,0.2916666666666667,2.2275633149390526,True
npm::proxy-addr,154,0.2916666666666667,2.2275633149390526,True
npm::is-stream,153,0.2897727272727273,2.2340358294446703,True
npm::@babel/highlight,153,0.2897727272727273,2.2340358294446703,True
npm::regenerator-runtime,153,0.2897727272727273,2.2340358294446703,True
npm::esprima,151,0.2859848484848485,2.247107911012023,True
npm::slash,151,0.2859848484848485,2.247107911012023,True
npm::source-map-support,151,0.2859848484848485,2.247107911012023,True
npm::sprintf-js,151,0.2859848484848485,2.247107911012023,True
npm::p-try,150,0.2840909090909091,2.253708595043375,True
npm::node-releases,149,0.2821969696969697,2.260353137762044,True
npm::eslint-scope,149,0.2821969696969697,2.260353137762044,True
npm::ws,148,0.2803030303030303,2.26704212591284,True
npm::object-keys,148,0.2803030303030303,2.26704212591284,True
npm::npm-run-path,147,0.2784090909090909,2.273776158094184,True
npm::ignore,147,0.2784090909090909,2.273776158094184,True
npm::execa,147,0.2784090909090909,2.273776158094184,True
npm::@babel/types,147,0.2784090909090909,2.273776158094184,True
npm::tslib,146,0.2765151515151515,2.2805558450795633,True
npm::buffer-from,146,0.2765151515151515,2.2805558450795633,True
npm::async,146,0.2765151515151515,2.2805558450795633,True
npm::define-properties,146,0.2765151515151515,2.2805558450795633,True
npm::@babel/parser,145,0.2746212121212121,2.287381810149963,True
npm::@babel/traverse,144,0.2727272727272727,2.294254689437725,True
npm::@babel/generator,144,0.2727272727272727,2.294254689437725,True
